,time,magnitude
2048,183.071571,159.5068235
2049,183.118177,159.537922
2050,183.227852,159.68641925000003
2051,183.258732,159.71756875
2052,183.352753,159.80746125000002
2053,183.501134,159.91677125
2054,183.575093,159.97719075000003
2055,183.622216,160.020357
2056,183.684705,160.07109975000003
2057,183.778443,160.13357725000003
2058,183.824994,160.168585
2059,183.887527,160.25058925000002
2060,183.965632,160.30134900000002
2061,184.012773,160.36007949999998
2062,184.137732,160.43034
2063,184.168775,160.5004735
2064,184.26275900000002,160.56715075
2065,184.418921,160.73170700000003
2066,184.45029000000002,160.7512555
2067,184.512648,160.8255205
2068,184.559615,160.877227
2069,184.62195,160.92397875
2070,184.68445,160.97088125
2071,184.762269,161.0566935
2072,184.80937500000002,161.13479375000003
2073,184.87188,161.19730525
2074,184.95006800000002,161.25599625
2075,185.01225100000002,161.33009375
2076,185.090357,161.388585
2077,185.13749,161.43170350000003
2078,185.231019,161.50969450000002
2079,185.32464000000002,161.56433
2080,185.418731,161.67769500000003
2081,185.512142,161.75173825000002
2082,185.63021500000002,161.8875805
2083,185.67401500000003,161.92517225
2084,185.75210800000002,162.03060750000003
2085,185.78331300000002,162.06957375000002
2086,185.799268,162.12449525
2087,185.83049300000002,162.15579475
2088,186.04922900000003,162.30810775000003
2089,186.173931,162.38601525
2090,186.424104,162.5345225
2091,186.595942,162.66722950000002
2092,186.642774,162.7102365
2093,186.674058,162.75713475
2094,186.75218700000002,162.81713525000004
2095,186.76777900000002,162.8776975
2096,186.83025600000002,162.92067250000002
2097,186.955128,163.03778475000001
2098,187.01767900000002,163.0807825
2099,187.079922,163.147045
2100,187.095795,163.21151325
2101,187.28299600000003,163.34023200000001
2102,187.40830300000002,163.42616425
2103,187.47079300000001,163.4690415
2104,187.54886100000002,163.543268
2105,187.642683,163.59799675
2106,187.70478,163.65257050000002
2107,187.767596,163.69164275
2108,187.829746,163.758004
2109,187.92381,163.85957200000001
2110,188.01746100000003,163.933805
2111,188.22051100000002,164.086115
2112,188.39211200000003,164.19532300000003
2113,188.438983,164.24221500000002
2114,188.50146700000002,164.32428025000002
2115,188.57957900000002,164.38671050000002
2116,188.642017,164.49609875000002
2117,188.72044300000002,164.54305575
2118,188.78291900000002,164.60544775
2119,188.876708,164.679765
2120,188.93886600000002,164.7577855
2121,189.03259,164.82019425
2122,189.126317,164.89052900000002
2123,189.173457,164.9374945
2124,189.220321,164.98433825
2125,189.28279700000002,165.023387
2126,189.54838800000002,165.21078725
2127,189.579295,165.25365275000001
2128,189.673066,165.36706025
2129,189.81361600000002,165.46069175000002
2130,189.941632,165.5760175
2131,190.019788,165.658059
2132,190.08228400000002,165.7129165
2133,190.160658,165.7716205
2134,190.22293100000002,165.84183725000003
2135,190.36342100000002,165.94808375000002
2136,190.42622500000002,166.0106675
2137,190.51992,166.06923450000002
2138,190.535538,166.12785625
2139,190.644979,166.198216
2140,190.75395400000002,166.29952075
2141,190.863672,166.4013005
2142,190.94144200000002,166.45574875
2143,190.95728300000002,166.47544900000003
2144,191.019835,166.54968575
2145,191.05105,166.612143
2146,191.26975800000002,166.75033675000003
2147,191.331981,166.81977825
2148,191.394709,166.88613850000002
2149,191.456949,166.94464975
2150,191.503893,166.99555925
2151,191.660028,167.12437925
2152,191.675923,167.19080075
2153,191.72251100000003,167.28448375000002
2154,191.738413,167.31575400000003
2155,191.78500000000003,167.35863675000002
2156,191.879006,167.42517
2157,191.98839500000003,167.51111075
2158,192.09776300000001,167.58133575
2159,192.206795,167.663292
2160,192.47271700000002,167.815816
2161,192.53483100000003,167.85852600000004
2162,192.61318400000002,167.95238925
2163,192.70696,168.01481875000002
2164,192.800388,168.100735
2165,192.86311800000001,168.1788855
2166,192.909738,168.21780875000002
2167,192.98811500000002,168.30777775
2168,193.06595700000003,168.37791725000002
2169,193.09720800000002,168.45217175000002
2170,193.128444,168.514599
2171,193.19116100000002,168.592913
2172,193.222396,168.639736
2173,193.269034,168.7215905
2174,193.33184100000003,168.77254125000002
2175,193.36274500000002,168.83101900000003
2176,193.409628,168.86617475
2177,193.518978,168.952017
2178,193.53486500000002,168.97170200000002
2179,193.581823,169.03417475000003
2180,193.691041,169.10443225
2181,193.706423,169.16297775
2182,193.76892,169.21765675
2183,193.81573500000002,169.280155
2184,193.87844600000003,169.32317725000001
2185,193.92539200000002,169.3818245
2186,194.050363,169.45994225
2187,194.112603,169.545659
2188,194.17507700000002,169.60811950000002
2189,194.237544,169.67450100000002
2190,194.362513,169.77662275
2191,194.40960600000003,169.83915325
2192,194.47211900000002,169.90172800000002
2193,194.50311100000002,169.9524235
2194,194.65957200000003,170.04628125000002
2195,194.706195,170.0890495
2196,194.78456,170.179067
2197,194.862713,170.260988
2198,194.971752,170.3390985
2199,195.03444800000003,170.41321825
2200,195.08111300000002,170.50301675000003
2201,195.12824700000002,170.5578385
2202,195.175228,170.59693275
2203,195.253265,170.6789085
2204,195.331231,170.73350825
2205,195.346942,170.7804195
2206,195.40950700000002,170.83514975000003
