time,sensor_id,port,axes_x,axes_y,axes_z,temperature
11:50.0,29,2,208,-80,4048,0
11:50.0,30,1,0,0,0,0
11:50.0,31,1,0,0,0,0
11:50.0,30,2,-1760,850,3648,0
11:50.0,31,2,0,0,0,0
11:50.0,73,1,0,0,0,0
11:50.0,73,2,0,0,0,8589
11:50.0,105,1,5444,2883,-14519,0
11:50.0,29,1,416,-3616,-1856,0
11:50.0,29,2,240,-64,3984,0
11:50.0,31,2,0,0,0,0
11:50.1,73,1,0,0,0,0
11:50.1,73,2,0,0,0,8589
11:50.1,105,1,5688,2771,-14509,0
11:50.1,29,1,464,-3632,-1856,0
11:50.1,29,2,208,-176,4000,0
11:50.1,30,1,0,0,0,0
11:50.1,31,1,0,0,0,0
11:50.1,30,2,-1744,850,3744,0
11:50.1,31,2,0,0,0,0
11:50.1,73,1,0,0,0,0
11:50.1,73,2,0,0,0,8589
11:50.1,105,1,5510,2819,-14495,0
11:50.1,29,1,448,-3616,-1776,0
11:50.2,29,2,208,-160,3936,0
11:50.2,30,1,0,0,0,0
11:50.2,31,1,0,0,0,0
11:50.2,30,2,-1840,802,3840,0
11:50.3,31,2,0,0,0,0
11:50.3,73,1,0,0,0,0
11:50.3,73,2,0,0,0,8589
11:50.3,105,1,5421,2743,-14937,0
11:50.3,29,1,496,-3568,-1776,0
11:50.3,29,2,304,-256,3968,0
11:50.3,30,1,0,0,0,0
11:50.3,31,1,0,0,0,0
11:50.3,30,2,-1808,754,3648,0
11:50.3,31,2,0,0,0,0
11:50.3,73,1,0,0,0,0
11:50.3,31,1,0,0,0,0
11:50.3,30,2,-1728,866,3824,0
11:50.3,31,2,0,0,0,0
11:50.3,29,2,128,-176,3984,0
11:50.4,30,1,0,0,0,0
11:50.4,31,1,0,0,0,0
11:50.4,31,2,0,0,0,0
11:50.4,73,1,0,0,0,0
11:50.4,73,2,0,0,0,8587
11:50.4,105,1,5631,2658,-14711,0
11:50.4,29,1,496,-3584,-1856,0
11:50.4,29,2,256,-208,4064,0
11:50.4,30,1,0,0,0,0
11:50.4,31,1,0,0,0,0
11:50.4,30,2,-1776,786,3600,0
11:50.6,31,2,0,0,0,0
11:50.6,73,1,0,0,0,0
11:50.6,73,2,0,0,0,8590
11:50.6,105,1,5721,2716,-15032,0
11:50.6,29,1,464,-3664,-1792,0
11:50.6,29,2,208,-144,3968,0
11:50.6,30,1,0,0,0,0
11:50.6,31,1,0,0,0,0
11:50.7,30,2,-1760,722,3712,0
11:50.7,73,2,0,0,0,8587
11:50.7,29,1,448,-3616,-1744,0
11:50.7,29,2,160,-176,3984,0
11:50.7,30,1,0,0,0,0
11:50.7,31,1,0,0,0,0
11:50.7,30,2,-1760,530,3696,0
11:50.7,31,2,0,0,0,0
11:50.7,73,1,0,0,0,0
11:50.7,29,1,528,-3616,-1856,0
11:50.7,29,2,304,-112,4144,0
11:50.7,30,1,0,0,0,0
11:50.7,31,1,0,0,0,0
11:50.7,30,2,-1728,770,3568,0
11:50.7,31,2,0,0,0,0
11:50.7,73,1,0,0,0,0
11:50.7,73,2,0,0,0,8588
11:50.9,105,1,5730,2728,-15183,0
11:50.9,29,1,416,-3616,-1920,0
11:50.9,29,2,256,-112,4016,0
11:50.9,30,1,0,0,0,0
11:50.9,73,1,0,0,0,0
11:50.9,73,2,0,0,0,8589
11:50.9,105,1,5533,2627,-14831,0
11:50.9,73,1,0,0,0,0
11:50.9,73,2,0,0,0,8589
11:50.9,29,2,208,-256,3968,0
11:50.9,30,1,0,0,0,0
11:50.9,31,1,0,0,0,0
11:50.9,29,2,256,-112,4016,0
11:50.9,30,1,0,0,0,0
11:50.9,31,1,0,0,0,0
11:51.0,30,2,-1904,866,3664,0
11:51.0,31,2,0,0,0,0
11:51.0,30,2,-1680,642,3616,0
11:51.0,31,2,0,0,0,0
11:51.0,73,1,0,0,0,0
11:51.0,73,2,0,0,0,8588
11:51.0,105,1,5456,2821,-14315,0
11:51.0,29,1,512,-3600,-1632,0
11:51.0,29,2,208,-144,3840,0
11:51.0,30,1,0,0,0,0
11:51.0,31,1,0,0,0,0
11:51.0,30,2,-1904,818,3728,0
11:51.0,31,2,0,0,0,0
11:51.0,73,1,0,0,0,0
11:51.1,73,2,0,0,0,8589
11:51.1,105,1,5408,2797,-14308,0
11:51.1,29,1,448,-3584,-1744,0
11:51.1,29,2,336,-128,4112,0
11:51.1,30,1,0,0,0,0
11:51.1,31,1,0,0,0,0
11:51.1,30,2,-1600,786,4000,0
11:51.1,31,2,0,0,0,0
11:51.1,73,1,0,0,0,0
11:51.2,105,1,5535,2746,-14497,0
11:51.2,29,1,464,-3536,-1776,0
11:51.2,29,2,192,-144,4096,0
11:51.2,30,1,0,0,0,0
11:51.2,31,1,0,0,0,0
11:51.2,30,2,-1744,866,3632,0
11:51.2,31,2,0,0,0,0
11:51.2,73,1,0,0,0,0
11:51.2,73,2,0,0,0,8588
11:51.2,105,1,5603,2734,-14691,0
11:51.2,29,1,528,-3648,-1696,0
11:51.2,29,2,160,-176,3936,0
11:51.2,30,1,0,0,0,0
11:51.3,31,1,0,0,0,0
11:51.3,30,2,-1888,690,3712,0
11:51.3,31,2,0,0,0,0
11:51.3,73,1,0,0,0,0
11:51.3,73,2,0,0,0,8588
11:51.3,105,1,5501,2707,-14900,0
11:51.3,29,1,416,-3600,-1712,0
11:51.3,29,2,208,-176,4096,0
11:51.3,30,1,0,0,0,0
11:51.3,31,1,0,0,0,0
11:51.3,30,2,-1760,754,3696,0
11:51.3,31,2,0,0,0,0
11:51.4,73,1,0,0,0,0
11:51.4,73,2,0,0,0,8588
11:51.4,105,1,5640,2841,-14637,0
11:51.4,29,1,480,-3632,-1728,0
11:51.4,29,2,240,-192,4000,0
11:51.4,30,1,0,0,0,0
11:51.4,31,1,0,0,0,0
11:51.5,30,2,-1728,754,3664,0
11:51.5,31,2,0,0,0,0
11:51.5,73,1,0,0,0,0
11:51.5,73,2,0,0,0,8592
11:51.5,105,1,5760,2762,-14804,0
11:51.5,29,1,464,-3648,-1872,0
11:51.5,29,2,240,-160,4032,0
11:51.5,30,1,0,0,0,0
11:51.5,31,1,0,0,0,0
11:51.5,30,2,-1888,770,3792,0
11:51.5,31,2,0,0,0,0
11:51.6,73,1,0,0,0,0
11:51.6,73,2,0,0,0,8588
11:51.6,105,1,5472,2659,-14415,0
11:51.6,29,1,448,-3584,-1776,0
11:51.6,29,2,224,-144,4064,0
11:51.6,30,1,0,0,0,0
11:51.6,31,1,0,0,0,0
11:51.6,30,2,-1840,802,3808,0
11:51.6,31,2,0,0,0,0
11:51.7,73,1,0,0,0,0
11:51.7,73,2,0,0,0,8589
11:51.8,29,1,496,-3680,-1712,0
11:51.8,29,2,336,-272,4080,0
11:51.8,30,1,0,0,0,0
11:51.8,31,1,0,0,0,0
11:51.8,30,2,-1776,754,3792,0
11:51.8,31,2,0,0,0,0
11:51.8,73,1,0,0,0,0
11:51.8,73,2,0,0,0,8587
11:51.8,105,1,5737,2679,-14788,0
11:51.8,29,1,496,-3664,-1648,0
11:51.9,29,2,208,-144,4000,0
11:51.9,105,1,5580,2729,-14583,0
11:51.9,29,1,448,-3584,-1888,0
11:51.9,29,2,208,-256,3952,0
11:51.9,30,1,0,0,0,0
11:51.9,31,1,0,0,0,0
11:51.9,30,2,-1728,850,3824,0
11:51.9,31,2,0,0,0,0
11:51.9,105,1,5600,2982,-14707,0
11:51.9,29,1,400,-3616,-1824,0
11:51.9,29,2,192,-160,3968,0
11:51.9,30,1,0,0,0,0
11:51.9,31,1,0,0,0,0
11:51.9,30,2,-1840,850,3664,0
11:51.9,31,2,0,0,0,0
11:51.9,73,1,0,0,0,0
11:52.0,73,2,0,0,0,8587
11:52.1,105,1,5671,2520,-15033,0
11:52.1,29,1,432,-3648,-1696,0
11:52.1,29,2,224,-256,3952,0
11:52.1,30,1,0,0,0,0
11:52.1,31,1,0,0,0,0
11:52.1,30,2,-1760,738,3600,0
11:52.1,31,2,0,0,0,0
11:52.1,73,1,0,0,0,0
11:52.1,73,2,0,0,0,8587
11:52.1,73,2,0,0,0,8586
11:52.1,31,2,0,0,0,0
11:52.1,73,1,0,0,0,0
11:52.1,73,2,0,0,0,8587
11:52.1,105,1,5384,2639,-14758,0
11:52.1,29,1,528,-3632,-1776,0
11:52.2,29,2,96,-112,4016,0
11:52.2,30,1,0,0,0,0
11:52.2,73,1,0,0,0,0
11:52.2,73,2,0,0,0,8587
11:52.2,105,1,5648,2640,-14550,0
11:52.2,29,1,512,-3568,-1920,0
11:52.2,29,2,256,-208,3904,0
11:52.2,30,1,0,0,0,0
11:52.2,31,1,0,0,0,0
11:52.2,31,2,0,0,0,0
11:52.2,73,1,0,0,0,0
11:52.2,73,2,0,0,0,8587
11:52.2,105,1,5487,2839,-14616,0
11:52.2,29,1,432,-3584,-1856,0
11:52.2,29,2,288,-240,4096,0
11:52.3,30,1,0,0,0,0
11:52.3,31,1,0,0,0,0
11:52.3,30,2,-1792,786,3680,0
11:52.3,31,2,0,0,0,0
11:52.3,73,1,0,0,0,0
11:52.3,73,2,0,0,0,8591
11:52.3,105,1,5456,2741,-14783,0
11:52.3,29,1,512,-3568,-1808,0
11:52.4,29,2,176,-160,4096,0
11:52.4,30,1,0,0,0,0
11:52.4,31,1,0,0,0,0
11:52.4,30,2,-1728,850,3808,0
11:52.4,31,2,0,0,0,0
11:52.4,73,1,0,0,0,0
11:52.5,73,2,0,0,0,8591
11:52.5,105,1,5595,2921,-14711,0
11:52.5,29,1,448,-3648,-1808,0
11:52.5,29,1,480,-3648,-1712,0
11:52.5,29,2,272,-160,4016,0
11:52.5,30,1,0,0,0,0
11:52.5,31,1,0,0,0,0
11:52.5,30,2,-1808,818,3760,0
11:52.5,31,2,0,0,0,0
11:52.5,73,1,0,0,0,0
11:52.5,30,2,-1712,738,3776,0
11:52.5,31,2,0,0,0,0
11:52.5,73,1,0,0,0,0
11:52.5,73,2,0,0,0,8588
11:52.5,105,1,5595,3035,-14222,0
11:52.7,29,1,480,-3552,-1920,0
11:52.7,73,1,0,0,0,0
11:52.7,73,2,0,0,0,8588
11:52.7,105,1,5595,2593,-14246,0
11:52.7,29,1,464,-3632,-1824,0
11:52.7,29,2,96,-144,4016,0
11:52.7,30,1,0,0,0,0
11:52.7,31,1,0,0,0,0
11:52.7,30,1,0,0,0,0
11:52.7,31,1,0,0,0,0
11:52.7,30,2,-1696,754,3728,0
11:52.7,31,2,0,0,0,0
11:52.7,73,1,0,0,0,0
11:52.7,73,2,0,0,0,8590
