time,sensor_id,port,x,y,z,temperature
2020-10-13 12:11:57.686406,105.0,1.0,10698.0,-921.0,-11561,0.0
2020-10-13 12:11:57.686406,105.0,1.0,10337.0,-1051.0,-12048,0.0
2020-10-13 12:11:57.717752,105.0,1.0,9504.0,-461.0,-13629,0.0
2020-10-13 12:11:57.795542,105.0,1.0,9489.0,873.0,-13391,0.0
2020-10-13 12:11:57.987156,105.0,1.0,9696.0,-53.0,-12575,0.0
2020-10-13 12:11:58.033717,105.0,1.0,9503.0,398.0,-13227,0.0
2020-10-13 12:11:58.127807,105.0,1.0,9603.0,-46.0,-12005,0.0
2020-10-13 12:11:58.268414,105.0,1.0,9551.0,-226.0,-12360,0.0
2020-10-13 12:11:58.330658,105.0,1.0,8455.0,424.0,-12526,0.0
2020-10-13 12:11:58.393321,105.0,1.0,7387.0,-162.0,-14156,0.0
2020-10-13 12:11:58.455811,105.0,1.0,7232.0,1428.0,-14614,0.0
2020-10-13 12:11:58.580782,105.0,1.0,7853.0,645.0,-15415,0.0
2020-10-13 12:11:58.612047,105.0,1.0,9392.0,1590.0,-13022,0.0
2020-10-13 12:11:58.674500,105.0,1.0,8622.0,920.0,-14289,0.0
2020-10-13 12:11:58.721337,105.0,1.0,8419.0,764.0,-13243,0.0
2020-10-13 12:11:58.879366,105.0,1.0,6080.0,914.0,-14954,0.0
2020-10-13 12:11:58.941580,105.0,1.0,7115.0,1974.0,-14934,0.0
2020-10-13 12:11:58.988454,105.0,1.0,6567.0,319.0,-12949,0.0
2020-10-13 12:11:59.191776,105.0,1.0,6961.0,1546.0,-14162,0.0
2020-10-13 12:11:59.238403,105.0,1.0,6979.0,1088.0,-14054,0.0
2020-10-13 12:11:59.301277,105.0,1.0,6891.0,1304.0,-14443,0.0
2020-10-13 12:11:59.348038,105.0,1.0,6708.0,1419.0,-14171,0.0
2020-10-13 12:11:59.504332,105.0,1.0,6633.0,1622.0,-14272,0.0
2020-10-13 12:11:59.582331,105.0,1.0,6603.0,717.0,-14616,0.0
2020-10-13 12:11:59.629306,105.0,1.0,6640.0,1840.0,-14597,0.0
2020-10-13 12:11:59.832004,105.0,1.0,6719.0,1614.0,-14196,0.0
2020-10-13 12:11:59.879144,105.0,1.0,6604.0,1380.0,-14442,0.0
