time,x,y,z
37.373608000000004,-1344.0,738.0,4016.0
37.483003000000004,-1328.0,754.0,3968.0
37.633439,-1408.0,610.0,3792.0
37.714075,-1296.0,626.0,3776.0
37.823376,-1296.0,866.0,4144.0
37.885894,-1264.0,802.0,3968.0
37.933059,-1200.0,754.0,3888.0
37.979587,-1328.0,578.0,3952.0
38.089219,-1376.0,770.0,3968.0
38.198620000000005,-1312.0,770.0,3936.0
38.292082,-1168.0,898.0,4112.0
38.354794000000005,-1296.0,738.0,3904.0
38.386053000000004,-1232.0,722.0,3744.0
38.526338,-1312.0,658.0,3920.0
38.682581,-1264.0,850.0,3936.0
38.761038,-1232.0,818.0,4032.0
38.776593000000005,-1376.0,706.0,3872.0
38.886018,-1296.0,786.0,3904.0
38.979392000000004,-1296.0,866.0,3936.0
39.073402,-1328.0,786.0,3888.0
39.135603,-1328.0,770.0,3856.0
39.229330000000004,-1344.0,754.0,3936.0
39.276159,-1312.0,754.0,3920.0
39.510780000000004,-1376.0,914.0,4096.0
39.573002,-1360.0,754.0,3776.0
39.666696,-1232.0,706.0,3856.0
39.948205,-1328.0,722.0,3744.0
40.073147000000006,-1456.0,690.0,3776.0
40.073147000000006,-1376.0,786.0,3920.0
40.135618,-1328.0,770.0,3888.0
40.275960000000005,-1376.0,754.0,3760.0
40.541810000000005,-1488.0,642.0,4080.0
40.604330000000004,-1344.0,754.0,3856.0
40.666459,-1248.0,738.0,3760.0
40.666459,-1312.0,754.0,3840.0
40.869872,-1312.0,738.0,3984.0
40.978927000000006,-1248.0,770.0,3968.0
41.119778000000004,-1312.0,802.0,3984.0
41.228862,-1312.0,786.0,3952.0
41.354169000000006,-1280.0,818.0,3968.0
41.416292000000006,-1376.0,674.0,3840.0
41.541552,-1328.0,738.0,3888.0
41.635345,-1392.0,818.0,3728.0
41.791226,-1312.0,786.0,3872.0
41.947762000000004,-1376.0,786.0,3824.0
42.009932,-1296.0,834.0,3968.0
42.168687000000006,-1328.0,706.0,3712.0
42.171006000000006,-1264.0,658.0,3936.0
42.280724,-1296.0,754.0,4112.0
42.342883,-1344.0,946.0,3936.0
42.405678,-1264.0,786.0,3808.0
42.483735,-1376.0,706.0,3936.0
42.577481000000006,-1328.0,786.0,4000.0
42.671213,-1296.0,786.0,3792.0
42.811855,-1344.0,722.0,3888.0
42.82715,-1168.0,754.0,3840.0
42.921094000000004,-1280.0,802.0,3968.0
42.921094000000004,-1216.0,546.0,3984.0
42.983327,-1264.0,786.0,3840.0
43.092719,-1312.0,626.0,3936.0
43.217648000000004,-1344.0,786.0,3888.0
43.280163,-1296.0,786.0,3728.0
43.373894,-1344.0,802.0,3792.0
43.436589000000005,-1280.0,786.0,3936.0
43.514483000000006,-1328.0,738.0,3888.0
43.559963,-1264.0,770.0,3936.0
43.638032,-1200.0,786.0,3888.0
43.684954000000005,-1296.0,626.0,3856.0
43.827664000000006,-1328.0,866.0,4080.0
43.90592,-1328.0,658.0,3984.0
43.970267,-1232.0,754.0,3936.0
44.016851,-1216.0,770.0,3920.0
44.048061000000004,-1264.0,754.0,4032.0
44.079282000000006,-1328.0,754.0,3856.0
44.173016000000004,-1392.0,674.0,3936.0
44.220121000000006,-1344.0,706.0,3936.0
44.282627000000005,-1264.0,706.0,3872.0
44.329227,-1200.0,754.0,3904.0
44.673162000000005,-1264.0,786.0,3888.0
44.813748000000004,-1184.0,738.0,3920.0
44.845097,-1392.0,674.0,3888.0
44.891694,-1328.0,690.0,3968.0
44.969744000000006,-1216.0,786.0,3664.0
45.079312,-1296.0,898.0,4112.0
45.172876,-1296.0,802.0,3936.0
45.26679,-1216.0,850.0,3776.0
45.375796,-1328.0,786.0,4016.0
45.438324,-1408.0,674.0,3824.0
45.48556,-1296.0,738.0,3888.0
45.563634,-1264.0,754.0,3888.0
45.657349,-1344.0,658.0,3824.0
45.688467,-1296.0,818.0,3888.0
45.735372000000005,-1328.0,850.0,3840.0
45.766630000000006,-1328.0,786.0,3936.0
45.860349,-1296.0,738.0,4048.0
45.985036,-1328.0,754.0,3888.0
46.063183,-1296.0,754.0,3888.0
46.203766,-1296.0,626.0,3952.0
46.314112,-1488.0,754.0,4016.0
46.448274000000005,-1376.0,786.0,3856.0
