frequency,penh,rt,mv,te,ti,eip
98.81481511,0.13975808,0.3367637,166.7655776,0.384488,0.2227084,6
120.2335416,0.153576953,0.2514032,186.9578395,0.3135168,0.185512,8
110.8537047,0.226669236,0.2534259,179.9753953,0.3187707,0.2224832,6
101.2450099,0.245545499,0.2940559,183.4015443,0.3653925,0.2272293,6
104.6703929,0.263606625,0.2676592,185.2883094,0.3306205,0.2426075,6
95.66091649,0.326702543,0.2922758,170.5224388,0.3798359,0.2473795,8
127.6199037,0.178588046,0.2126123,196.8114788,0.257982,0.2121641,8
114.89525,0.270149679,0.240957,183.6887488,0.3201968,0.202018,8
101.21017,0.343937604,0.2813397,175.2044376,0.3670226,0.2258032,6
94.99062205,0.468865896,0.2703238,160.800669,0.3906639,0.2409774,6
100.4163765,0.290154763,0.2730285,166.3632162,0.366176,0.2313361,8
98.33015727,0.304170015,0.2882084,170.3702925,0.3723652,0.237824,8
98.27943825,0.338072225,0.2694222,172.6283852,0.3588693,0.2516348,6
88.2412504,0.200014548,0.3645534,176.1502648,0.4268234,0.2531307,6
114.2458697,0.22284415,0.250915,218.8337057,0.3160065,0.2091766,6
111.941656,0.166868011,0.2569171,220.4405297,0.308,0.2279935,8
109.9542096,0.363550738,0.2326294,176.9682989,0.3196817,0.226,8
97.35229345,0.425526217,0.2709648,169.0996567,0.374,0.2423183,8
98.11835166,0.327346074,0.2723885,157.4797412,0.3675064,0.244,6
93.97118468,0.240091338,0.3061247,169.5620599,0.388,0.2504936,8
102.535638,0.261020644,0.2653955,181.2661725,0.3231624,0.262,8
92.41631702,0.363635076,0.2972725,176.6731483,0.3963984,0.2528376,8
102.1199245,0.168513535,0.2968626,174.3910919,0.3479429,0.2396016,8
113.0271516,0.322294428,0.2192041,210.9998439,0.2987888,0.2320571,8
120.2216165,0.290826172,0.2325214,202.3946265,0.3158671,0.1832112,8
113.2507962,0.218220105,0.2509544,188.0245857,0.3116647,0.2181329,6
110.4248818,0.17092652,0.2634415,180.1557078,0.3150205,0.2283353,6
96.62154709,0.302289599,0.300372,171.1001275,0.386,0.2349795,6
106.1128238,0.169770335,0.2851165,179.3669293,0.3494359,0.216,6
98.30392954,0.244177403,0.3054758,186.923319,0.3757879,0.2345641,6
75.08152916,0.242651049,0.4329822,149.6811601,0.5549192,0.2442121,6
99.50304861,0.369916783,0.2675728,157.4797979,0.3699158,0.2330808,8
101.2699761,0.351753146,0.2688828,172.4900217,0.3603915,0.2320842,6
100.336277,0.361360588,0.2604661,176.1772184,0.3383806,0.2596085,6
94.99391564,0.25061559,0.3080834,179.960613,0.38,0.2516194,8
104.5052746,0.159906154,0.275824,179.3856169,0.3241337,0.25,6
98.19236047,0.259495695,0.3001825,183.6405661,0.3731792,0.2378663,8
97.77566872,0.352639504,0.2650522,181.1188718,0.3648288,0.2488208,6
105.7540795,0.366433374,0.2325371,176.0476789,0.3181828,0.2491712,6
95.62208622,0.330937557,0.2895763,176.5001592,0.3816529,0.2458172,8
102.480349,0.353116909,0.246706,178.9846191,0.335131,0.2503471,8
87.11929594,0.374153879,0.2679161,150.9298595,0.3678418,0.320869,6
99.17332423,0.381004562,0.2659915,182.7648821,0.3568432,0.2481582,6
102.7722295,0.323051203,0.2637577,193.3816282,0.3426585,0.2411568,8
96.31910133,0.300323572,0.2981611,185.6306156,0.3835879,0.2393415,8
80.89287397,0.508826286,0.3351333,140.2432658,0.4953096,0.2464121,6
89.99679611,0.36826009,0.3142405,165.4374216,0.412,0.2546904,8
90.11060175,0.196689863,0.3477863,163.9658902,0.4138484,0.252,6
100.609408,0.398508615,0.2486336,193.5002297,0.3322141,0.2641516,8
96.46316208,0.477765954,0.2536961,172.2453663,0.3522132,0.2697859,6
95.18725316,0.42844104,0.2687982,173.6134367,0.3665497,0.2637868,6
95.60881462,0.370312442,0.2587,169.4556755,0.3561069,0.2714503,6
101.4799326,0.255106954,0.2786688,177.6709359,0.3633568,0.2278931,6
106.9889841,0.262415911,0.2605204,191.0634224,0.3341622,0.2266432,6
